BTC 30068$
BCD 0.211886$
ETH 1820.95$
XRP 0.398336$
USDT 1$
DOGE 0.082849$
TRX 0.081827$
LTC 62.87$
LINK 7.56$
DOT 9.48$
XLM 0.146026$
USDC 1.003$
BCH 182.2$
EOS 1.28$
DAI 1.001$
AAVE 106.2$
YFI 7462.06$
UNI 5.12$
AMPL 1.02$
DGB 0.01131813$
GMT 4.74434e-10$
JPEG 0.0012184$
ICX 0.397596$
WBNB 299.2$
MAGIC 0.465314$
XTZ 1.94$
GST 0.03841707$
BANANO 0.00747794$
FLOOR 5.11$
DOG 0.00027921$
GODS 0.831308$
VTHO 0.00190101$
DEAD 0.00150617$
FLOKI 3.237e-12$
NFT 8.33364e-7$
ELON 4.48091e-7$
GM 0.00000712$
BIT 0.555114$
YGG 0.603623$
MATIC 0.601299$
IOTX 0.03462412$
SHIB 0.00001089$
NEAR 5.39$
BCL 0.03240971$
AVAX 24.71$
BCT 0.00799783$
FTM 0.354939$
ONE 0.04148434$
KUMA 1.2354e-8$
SOL 39.71$
ETC 22.05$
USTC 0.01611771$
CELO 1.29$
TOMO 0.570642$
ADA 0.57459$
PAR 0.00058124$
VET 0.03077892$
RVN 0.02751553$
WAVES 8.51$
SUNNEW 0.00004432$
SAND 1.31$
AMP 0.0115024$
DCR 35.09$
TUSD 1.004$
EGLD 76.46$
NEWBTT 0.00000108$
QTUM 3.9$
LUNC 0.00008474$
GALA 0.074535$
APE 2.61601e-7$
HEX 0.051232$
BUSD 1.004$
AXS 20.18$
ZIL 0.050229$
WCK 2.83$
TRTL 0.00000616$
SQUID 0.01957062$
PEOPLE 0.0197414$
IDR 14433.5$
INR 77.6$
